title,readme,license,conduct,stars,watch,share,language1,language2,language3,language4
"immudb - world’s fastest immutable database, built on a zero trust model",Readme,Apache-2.0License,Codeofconduct,6.1kstars,79watching,203forks,,,,
《Designing Data-Intensive Application》DDIA中文翻译,Readme,CC-BY-4.0License,null,11.2kstars,348watching,2.5kforks,Python,HTML,Shell,Makefile
A Neovim config designed from scratch to be understandable,Readme,GPL-3.0License,null,809stars,15watching,104forks,Lua,,,
Bitburner Game,Readme,Viewlicense,null,765stars,16watching,249forks,JavaScript,TypeScript,CSS,Other
The automation tower defense game,Readme,GPL-3.0License,null,13.5kstars,583watching,1.8kforks,Java,Other,,
RedisJSON - a JSON data type for Redis,Readme,Viewlicense,null,2.6kstars,58watching,203forks,,,,
新一代爬虫平台，以图形化方式定义爬虫流程，不写代码即可完成爬虫。,Readme,MITLicense,null,4.1kstars,61watching,708forks,Java,Other,,
Scanners for Jar files that may be vulnerable to CVE-2021-44228,Readme,null,null,271stars,26watching,67forks,PowerShell,Shell,Python,
"📝A simple and elegant markdown editor, available for Linux, macOS and Windows.",Readme,MITLicense,Codeofconduct,25.1kstars,332watching,1.8kforks,JavaScript,Vue,CSS,Other
mold: A Modern Linker,Readme,Viewlicense,null,5.1kstars,84watching,142forks,C++,Shell,Other,
"Next-generation ORM for Node.js & TypeScript | PostgreSQL, MySQL, MariaDB, SQL Server, SQLite & MongoDB (Preview)",Readme,Apache-2.0License,Codeofconduct,19.1kstars,172watching,670forks,,,,
A Vite-native test framework. It's fast!,Readme,MITLicense,Codeofconduct,1.8kstars,15watching,59forks,TypeScript,Vue,JavaScript,Other
A libre lightweight streaming front-end for Android.,Readme,Viewlicense,null,16kstars,508watching,2kforks,Java,Kotlin,HTML,
高颜值的第三方网易云播放器，支持 Windows / macOS / Linux,Readme,MITLicense,null,13.4kstars,169watching,1.8kforks,,,,
"🔥A cross-language distributed transaction manager. Support xa, tcc, saga, transactional messages. 跨语言分布式事务管理器",Readme,BSD-3-ClauseLicense,null,4.3kstars,94watching,439forks,Go,Shell,Makefile,
A powerful JavaScript library for interacting with the Discord API,Readme,Apache-2.0License,Codeofconduct,16.8kstars,448watching,3.1kforks,JavaScript,TypeScript,,
"This is a python bot that automatically logs in, clicks the new button, and sends heroes to work in the bombcrypto game. It is fully open source and free.",Readme,null,null,584stars,35watching,336forks,Python,,,
"Free, open source crypto trading bot",Readme,GPL-3.0License,null,15kstars,554watching,3.2kforks,,,,
DooTask是一款轻量级的开源在线项目任务管理工具，提供各类文档协作工具、在线思维导图、在线流程图、项目管理、任务分发、即时IM，文件管理等工具。,Readme,AGPL-3.0License,null,1.1kstars,21watching,225forks,PHP,HTML,Vue,Other
Short JavaScript code snippets for all your development needs,Readme,CC-BY-4.0License,Codeofconduct,90.3kstars,2.4kwatching,9.6kforks,JavaScript,,,
"PaddlePaddle GAN library, including lots of interesting applications like First-Order motion transfer, wav2lip, picture repair, image editing, photo2cartoon, image style transfer, and so on.",Readme,Apache-2.0License,null,5.2kstars,77watching,825forks,Python,Shell,,
A tool for finding memory leaks in web apps,Readme,Apache-2.0License,null,1.6kstars,9watching,25forks,JavaScript,HTML,,
Cloud-native neural search framework for 𝙖𝙣𝙮 kind of data,Readme,Apache-2.0License,Codeofconduct,12.9kstars,169watching,1.7kforks,,,,
GFPGAN aims at developing Practical Algorithms for Real-world Face Restoration.,Readme,Viewlicense,null,14.8kstars,269watching,2.2kforks,Python,,,
World's fastest and most advanced password recovery utility,Readme,null,null,11.4kstars,440watching,1.9kforks,C,Perl,Other,
